method,has_post_data,payload_length,has_session_cookie,request_time_ms,response_status,response_size,has_xframe_options,has_csp,has_content_type,error_leaked,db_error_visible,payload_reflected,response_time_anomaly,label
1.0,1.0,0.0,0.0,0.0,200.0,21973.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,266804.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,8352.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,1.0,73.0,1.0,1778.0,303.0,1516.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,284.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,1.0,1691.0,200.0,59809.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,26489.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,0.0,200.0,70279.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
,1.0,303.0,1.0,288.0,200.0,17473.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,26489.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,70279.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,0.0,0.0,1.0,0.0,301.0,313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,18432.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,139.0,0.0,0.0,200.0,19932.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,1051443.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,1.0,84.0,1.0,109.0,200.0,16399.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
,1.0,183.0,1.0,58.0,200.0,61351.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,1.0,178.0,1.0,469.0,303.0,1501.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,712.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,1.0,1730.0,303.0,1487.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,24851.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,148.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,720.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,1.0,0.0,1.0,78.0,200.0,59807.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,144.0,0.0,0.0,200.0,20620.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,1.0,183.0,1.0,56.0,200.0,60939.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
,1.0,290.0,1.0,1363.0,200.0,21662.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,26489.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,104.0,200.0,19222.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
,0.0,0.0,0.0,1131.0,200.0,18966.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
,0.0,0.0,1.0,112.0,303.0,1487.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
,1.0,0.0,1.0,598.0,303.0,1517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,0.0,0.0,1.0,194.0,200.0,21168.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
